p_old	p_young	t_young_kya	t_old_kya	delta_kya	noem_old_precision	noem_old_recall	noem_old_f1	noem_young_precision	noem_young_recall	noem_young_f1	em_old_precision	em_old_recall	em_old_f1	em_young_precision	em_young_recall	em_young_f1	learned_lambda_n	learned_lambda_af	learned_lambda_old	learned_lambda_young	summary_json	out_dir
0.1	0.1	30000	35000	5000	0.5029	0.7774	0.6107	0.4881	0.2123	0.2959	0.5077	0.1147	0.1871	0.4863	0.8758	0.6253	0.9842830252835888	0.09530165203714	0.08114808367104134	0.03053469787900832	grid_runs/pold_0.1_pyoung_0.1_told_35000k_tyoung_30000k/summary.json	grid_runs/pold_0.1_pyoung_0.1_told_35000k_tyoung_30000k
0.1	0.1	35000	40000	5000	0.449	0.6424	0.5286	0.5802	0.3845	0.4624	0.3854	0.1933	0.2575	0.5382	0.7524	0.6275	0.980677758565166	0.09591069166149536	0.06672385881561181	0.02946976786314434	grid_runs/pold_0.1_pyoung_0.1_told_40000k_tyoung_35000k/summary.json	grid_runs/pold_0.1_pyoung_0.1_told_40000k_tyoung_35000k
0.1	0.1	40000	45000	5000	0.4856	0.61	0.5407	0.5813	0.4573	0.5119	0.5141	0.187	0.2743	0.5461	0.8464	0.6639	0.9693942927680733	0.09631657932423862	0.07675739642517425	0.03298904740996118	grid_runs/pold_0.1_pyoung_0.1_told_45000k_tyoung_40000k/summary.json	grid_runs/pold_0.1_pyoung_0.1_told_45000k_tyoung_40000k
0.1	0.1	45000	50000	5000	0.4829	0.6621	0.5585	0.5952	0.407	0.4834	0.5161	0.2009	0.2892	0.5495	0.8243	0.6594	0.9790296682662842	0.09451951799511188	0.09257673814484085	0.0384084418190389	grid_runs/pold_0.1_pyoung_0.1_told_50000k_tyoung_45000k/summary.json	grid_runs/pold_0.1_pyoung_0.1_told_50000k_tyoung_45000k
0.1	0.1	50000	55000	5000	0.4753	0.6053	0.5325	0.5714	0.4081	0.4761	0.4449	0.1199	0.1889	0.5358	0.8609	0.6605	0.981833816247774	0.09590235492548839	0.1194257140616238	0.04379071649838395	grid_runs/pold_0.1_pyoung_0.1_told_55000k_tyoung_50000k/summary.json	grid_runs/pold_0.1_pyoung_0.1_told_55000k_tyoung_50000k
0.1	0.1	30000	40000	10000	0.5185	0.7926	0.6269	0.5824	0.2757	0.3743	0.4963	0.3735	0.4262	0.4982	0.6253	0.5546	0.984250916571816	0.09545417436800901	0.05662611318431181	0.02819435220465617	grid_runs/pold_0.1_pyoung_0.1_told_40000k_tyoung_30000k/summary.json	grid_runs/pold_0.1_pyoung_0.1_told_40000k_tyoung_30000k
0.1	0.1	35000	45000	10000	0.5186	0.7934	0.6272	0.6816	0.3652	0.4756	0.5492	0.3386	0.419	0.5625	0.7546	0.6446	0.9693782781809224	0.0945724363890379	0.06479886953461009	0.03137883104259083	grid_runs/pold_0.1_pyoung_0.1_told_45000k_tyoung_35000k/summary.json	grid_runs/pold_0.1_pyoung_0.1_told_45000k_tyoung_35000k
0.1	0.1	40000	50000	10000	0.4674	0.7548	0.5773	0.7247	0.4189	0.5309	0.562	0.3604	0.4392	0.6452	0.8039	0.7159	0.978588873562185	0.09641463135855317	0.07891922155996389	0.032757039268531365	grid_runs/pold_0.1_pyoung_0.1_told_50000k_tyoung_40000k/summary.json	grid_runs/pold_0.1_pyoung_0.1_told_50000k_tyoung_40000k
0.1	0.1	45000	55000	10000	0.5182	0.707	0.598	0.5982	0.3588	0.4485	0.5638	0.2627	0.3584	0.536	0.7939	0.6399	0.9751007010985574	0.09729037599277235	0.08560996901657188	0.03899580653291482	grid_runs/pold_0.1_pyoung_0.1_told_55000k_tyoung_45000k/summary.json	grid_runs/pold_0.1_pyoung_0.1_told_55000k_tyoung_45000k
0.1	0.1	50000	60000	10000	0.5089	0.7212	0.5967	0.6357	0.3644	0.4632	0.5832	0.2547	0.3545	0.5612	0.8292	0.6694	0.97721315465071	0.09631164740180441	0.10620744534890803	0.042848904442812974	grid_runs/pold_0.1_pyoung_0.1_told_60000k_tyoung_50000k/summary.json	grid_runs/pold_0.1_pyoung_0.1_told_60000k_tyoung_50000k
0.1	0.1	30000	45000	15000	0.5706	0.8396	0.6794	0.6324	0.2936	0.401	0.6254	0.378	0.4712	0.5101	0.7443	0.6053	0.9764610617496787	0.09480595450616838	0.0653880117334403	0.030964524348094925	grid_runs/pold_0.1_pyoung_0.1_told_45000k_tyoung_30000k/summary.json	grid_runs/pold_0.1_pyoung_0.1_told_45000k_tyoung_30000k
